label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,259,,177.0662,7.125166,0.7581587,,,,,,,,4008645.216666664
,,261,,138.9385,13.95261,0.8420846,,,,,,,,4701881.416666667
,,262,,495.3285,7.100389,0.8415898,,,,,,,,3899751.3999999957
,,263,,495.3286,3.071689,0.8129101,,,,,,,,1970199.354166666
,,265,,852.2502,2.465911,0.8382545,,,,,,,,4065092.2333333413
,,266,,516.2171,13.58947,0.8503258,,,,,,,,4093578.933333334
,,267,,306.1664,11.28522,0.8454241,,,,,,,,4092288.941666666
,,273,,506.2543,2.539206,0.8405224,,,,,,,,4229324.500000001
,,274,,506.2526,4.230161,0.8424799,,,,,,,,41567.5076822917
,,275,,161.0925,12.50061,0.83879,,,,,,,,4791038.672916673
,,276,,161.0924,13.28874,0.8193647,,,,,,,,2777581.4999999995
,,277,,161.0925,11.2998,0.7697155,,,,,,,,920562.5916666676
,,279,,372.2324,9.370129,0.7170703,,,,,,,,3266.955240885414
,,280,,705.2119,2.475672,0.8381982,,,,,,,,3979062.366666669
,,283,,223.064,2.57345,0.8397723,,,,,,,,3977867.737500002
,,284,,297.0828,2.563656,0.8383433,,,,,,,,3812808.049999997
,,285,,538.1628,2.490334,0.8348412,,,,,,,,3745598.933333337
,,288,,268.8091,13.89856,0.842531,,,,,,,,3120191.324999998
,,289,,197.1012,16.81722,0.8048764,,,,,,,,4369673.833333335
,,292,,260.1973,13.00724,0.8343958,,,,,,,,4032872.866666671
,,294,,605.0193,13.90839,0.8414741,,,,,,,,4027149.3000000035
,,295,,924.2712,2.465911,0.8378342,,,,,,,,3709972.0666666655
,,296,,730.5388,4.419367,0.8383727,,,,,,,,3642997.050000002
,,299,,447.1594,12.9974,0.8396968,,,,,,,,3844071.566666667
,,300,,177.0955,9.226451,0.7943867,,,,,,,,12630.819140625008
,,301,,373.1808,13.66712,0.8529471,,,,,,,,3980087.466666668
,,302,,204.1174,13.45873,0.8500561,,,,,,,,3595618.2666666666
,,304,,730.5392,3.071689,0.8009726,,,,,,,,3618459.6500000027
,,305,,255.1456,11.25607,0.8385023,,,,,,,,3472337.133333331
,,306,,255.1456,12.99741,0.789644,,,,,,,,24180.457942708334
,,307,,255.1455,10.3541,0.58486,,,,,,,,10364.652766927078
,,310,,466.1749,13.00234,0.7929819,,,,,,,,34814.74596354172
,,311,,123.0555,13.99205,0.7624902,,,,,,,,2535456.9166666684
,,312,,702.0732,13.90839,0.8403637,,,,,,,,3867744.1833333345
,,313,,464.131,2.544094,0.8382409,,,,,,,,3257972.883333342
,,314,,137.046,7.679278,0.8407031,,,,,,,,10050112.86666666
,,315,,137.046,8.696306,0.837998,,,,,,,,4278215.366666664
,,316,,248.022,13.82433,0.8524693,,,,,,,,2833134.608333331
,,317,,248.0206,13.02199,0.8336934,,,,,,,,35359.84739583331
,,318,,198.0878,11.28037,0.8407309,,,,,,,,14009066.2
,,319,,198.0892,13.85917,0.8348385,,,,,,,,2803410.350000008
