id,mz,rt,rtmin,rtmax,n_glc,image,prediction,EVA_remove,peak_group,n,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
5428,236.9187,14.87,14.73,15.42,580000,F2621.png,TRUE,FALSE,,,FALSE,580000,FALSE,FALSE,FALSE
5042,236.9188,14.13,14.02,14.22,170000,F2622.png,FALSE,TRUE,,,FALSE,170000,FALSE,FALSE,FALSE
2275,236.98,7.56,7.45,7.76,570000,F2623.png,TRUE,FALSE,,,FALSE,570000,FALSE,FALSE,FALSE
4166,236.9882,11.58,11.33,11.9,1700000,F2624.png,TRUE,FALSE,,,FALSE,1700000,FALSE,FALSE,FALSE
4137,236.9994,11.5,11.36,11.64,260000,F2625.png,TRUE,FALSE,,,FALSE,260000,FALSE,FALSE,FALSE
5823,237.0631,16.48,16.37,16.57,120000,F2626.png,FALSE,TRUE,,,FALSE,120000,FALSE,FALSE,FALSE
551,237.077,1.9,1.76,1.99,140000,F2627.png,FALSE,TRUE,,,FALSE,140000,FALSE,FALSE,FALSE
664,237.077,2.13,1.99,2.27,56000,F2628.png,FALSE,TRUE,,,FALSE,56000,FALSE,FALSE,FALSE
871,237.0896,2.53,2.36,2.61,870000,F2629.png,TRUE,FALSE,,,FALSE,870000,FALSE,FALSE,FALSE
1421,237.0995,3.58,3.38,3.64,100000,F2630.png,FALSE,TRUE,,,FALSE,100000,FALSE,FALSE,FALSE
2030,237.1245,6.77,6.62,7.16,690000,F2631.png,FALSE,TRUE,,,FALSE,690000,FALSE,FALSE,FALSE
628,237.1246,1.93,1.56,1.99,1200000,F2632.png,TRUE,FALSE,,,FALSE,1200000,FALSE,FALSE,FALSE
4740,237.8714,12.99,12.9,13.27,140000,F2633.png,TRUE,FALSE,,,FALSE,140000,FALSE,FALSE,FALSE
1471,238.0068,3.73,3.61,4.01,98000,F2634.png,TRUE,FALSE,,,FALSE,98000,FALSE,FALSE,FALSE
2760,238.0254,8.61,8.53,8.76,640000,F2635.png,TRUE,FALSE,,,FALSE,640000,FALSE,FALSE,FALSE
3453,238.0756,9.96,9.87,10.1,260000,F2636.png,TRUE,FALSE,,,FALSE,260000,FALSE,FALSE,FALSE
872,238.0848,2.53,2.39,2.58,220000,F2637.png,TRUE,FALSE,,,FALSE,220000,FALSE,FALSE,FALSE
2843,238.0934,8.7,8.53,9.24,14000000,F2638.png,TRUE,FALSE,,,FALSE,14000000,FALSE,FALSE,FALSE
3289,238.0934,9.62,9.3,10.13,1500000,F2639.png,FALSE,TRUE,,,FALSE,1500000,FALSE,FALSE,FALSE
3594,238.0934,10.27,10.13,10.78,780000,F2640.png,FALSE,TRUE,,,FALSE,780000,FALSE,FALSE,FALSE
552,238.1086,1.9,1.82,1.99,380000,F2641.png,TRUE,FALSE,,,FALSE,380000,FALSE,FALSE,FALSE
979,238.1086,2.7,2.56,2.76,590000,F2642.png,TRUE,FALSE,,,FALSE,590000,FALSE,FALSE,FALSE
2480,238.1087,8.1,8.04,8.22,190000,F2643.png,FALSE,TRUE,,,FALSE,190000,FALSE,FALSE,FALSE
4741,238.8702,13.02,12.9,13.27,190000,F2644.png,TRUE,FALSE,,,FALSE,190000,FALSE,FALSE,FALSE
4854,238.8703,13.36,13.27,13.53,67000,F2645.png,FALSE,TRUE,,,FALSE,67000,FALSE,FALSE,FALSE
4918,238.8703,13.68,13.53,13.91,94000,F2646.png,FALSE,TRUE,,,FALSE,94000,FALSE,FALSE,FALSE
5455,238.8919,15.19,14.99,16.66,10000000,F2647.png,TRUE,FALSE,,,FALSE,10000000,FALSE,FALSE,FALSE
5720,238.9106,15.99,15.36,16.14,130000,F2648.png,FALSE,TRUE,,,FALSE,130000,FALSE,FALSE,FALSE
5949,238.9106,16.83,16.6,17.06,100000,F2649.png,FALSE,TRUE,,,FALSE,100000,FALSE,FALSE,FALSE
6140,238.9106,17.32,17.26,17.52,130000,F2650.png,FALSE,TRUE,,,FALSE,130000,FALSE,FALSE,FALSE
1934,238.9721,6.45,6.22,6.48,43000,F2651.png,TRUE,FALSE,,,FALSE,43000,FALSE,FALSE,FALSE
3024,238.9726,9.1,8.87,9.15,480000,F2652.png,TRUE,FALSE,,,FALSE,480000,FALSE,FALSE,FALSE
5367,238.9941,14.65,14.05,15.45,19000000,F2653.png,TRUE,FALSE,,,FALSE,19000000,FALSE,FALSE,FALSE
