label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,159,,536.001953,1.941,0.839968,,,,,,,,22366.456054687478
,,160,,559.272095,1.941,0.822549,,,,,,,,13865.34420572917
,,161,,445.262085,1.946,0.775905,,,,,,,,11701.145182291668
,,163,,454.067108,1.951,0.818963,,,,,,,,10501.27399088541
,,165,,534.99823,1.956,0.835244,,,,,,,,305555.5968749997
,,166,,335.010834,1.956,0.831521,,,,,,,,148816.53072916667
,,168,,617.051086,1.956,0.840868,,,,,,,,29317.847395833352
,,170,,536.99408,1.956,0.839882,,,,,,,,10725.683821614586
,,173,,420.04187,1.961,0.797296,,,,,,,,109041.43489583331
,,174,,453.063324,1.961,0.800667,,,,,,,,50279.37239583334
,,175,,691.149109,1.961,0.820846,,,,,,,,7020.967464192707
,,177,,437.040375,1.961,0.818998,,,,,,,,9934.841406250001
,,178,,422.03775,1.972,0.833434,,,,,,,,8092.18221028646
,,179,,735.175476,1.972,0.827403,,,,,,,,7002.104687500004
,,180,,421.045319,1.977,0.828236,,,,,,,,16799.98001302082
,,182,,437.068512,1.982,0.833565,,,,,,,,52033.72708333338
,,183,,336.098389,1.982,0.814801,,,,,,,,6615.832486979163
,,184,,583.425476,1.987,0.840323,,,,,,,,173565.95312499985
,,185,,544.269592,1.987,0.8259,,,,,,,,9613.076692708337
,,186,,493.094849,1.987,0.823067,,,,,,,,39679.66848958336
,,187,,450.052521,1.987,0.834454,,,,,,,,26195.803385416668
,,188,,352.12146,1.987,0.839336,,,,,,,,13448.062174479179
,,189,,438.071899,1.987,0.835188,,,,,,,,8615.209928385419
,,190,,385.058807,1.992,0.801105,,,,,,,,3520.2128580729186
,,191,,432.078339,1.992,0.820117,,,,,,,,5247.395377604164
,,192,,584.430054,1.993,0.828889,,,,,,,,64210.078125000065
,,194,,335.094971,1.993,0.828468,,,,,,,,39514.37148437501
,,195,,552.30957,1.993,0.836675,,,,,,,,11893.578971354167
,,196,,316.044769,1.998,0.834646,,,,,,,,16942.95410156251
,,197,,491.162354,1.998,0.82724,,,,,,,,10429.570117187506
,,198,,494.098358,1.998,0.831862,,,,,,,,7829.551188151042
,,199,,382.989044,1.998,0.829667,,,,,,,,7454.952213541669
,,200,,514.389099,1.998,0.829385,,,,,,,,6265.772656250002
,,203,,795.442566,2.003,0.818765,,,,,,,,28561.29622395832
,,205,,330.060577,2.003,0.829402,,,,,,,,5492.839680989585
,,209,,542.420715,2.008,0.829571,,,,,,,,14590.91087239583
,,210,,440.267365,2.008,0.833103,,,,,,,,73083.38750000006
,,212,,449.104889,2.008,0.828314,,,,,,,,15087.68997395832
