id,mz,rt,rtmin,rtmax,p_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
1437,204.123,7.37,6.97,8.07,110000,F422.png,TRUE,FALSE,FALSE,110000,FALSE,FALSE,FALSE
1292,204.185,3.79,3.67,4.79,17000,F423.png,TRUE,FALSE,FALSE,17000,FALSE,FALSE,FALSE
1649,204.2251,8.71,8.62,8.86,1900,F424.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
4076,204.9664,14.47,14.12,14.88,8700,F425.png,TRUE,FALSE,FALSE,8700,FALSE,FALSE,FALSE
1740,205.069,9.08,8.84,9.21,140000,F426.png,TRUE,FALSE,FALSE,140000,FALSE,FALSE,FALSE
1535,205.0939,8.01,7.9,8.16,49000,F427.png,TRUE,FALSE,FALSE,49000,FALSE,FALSE,FALSE
1448,205.1258,7.4,7.26,7.56,15000,F428.png,TRUE,FALSE,FALSE,15000,FALSE,FALSE,FALSE
2339,206.0542,10.47,10.37,10.99,16000,F429.png,TRUE,FALSE,FALSE,16000,FALSE,FALSE,FALSE
1741,206.0711,9.08,8.85,9.26,9200,F430.png,TRUE,FALSE,FALSE,9200,FALSE,FALSE,FALSE
1525,206.0963,8,7.9,8.17,5700,F431.png,FALSE,TRUE,FALSE,5700,FALSE,FALSE,FALSE
1436,206.1273,7.36,7.21,7.58,1300,F432.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
1087,206.1425,2.93,2.88,2.99,2100,F433.png,FALSE,TRUE,FALSE,2100,FALSE,FALSE,FALSE
2654,206.1488,11.3,11.2,11.46,1300,F434.png,FALSE,TRUE,FALSE,1300,FALSE,FALSE,FALSE
1742,207.0721,9.08,8.91,9.16,1800,F435.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
2634,209.058,11.25,11.21,11.35,1200,F436.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
1462,209.091,7.55,7.39,7.82,3600,F437.png,TRUE,FALSE,FALSE,3600,FALSE,FALSE,FALSE
1411,210.049,7.17,6.9,7.67,3400,F438.png,TRUE,FALSE,FALSE,3400,FALSE,FALSE,FALSE
1198,210.0574,3.07,2.99,3.26,2200,F439.png,TRUE,FALSE,FALSE,2200,FALSE,FALSE,FALSE
3024,210.0597,12.71,12.65,12.81,1100,F440.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1844,210.0838,9.3,9.19,9.44,3700,F441.png,TRUE,FALSE,FALSE,3700,FALSE,FALSE,FALSE
1685,211.068,8.9,8.83,8.94,1400,F442.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1110,211.1067,2.94,2.89,3.06,2200,F443.png,TRUE,FALSE,FALSE,2200,FALSE,FALSE,FALSE
2583,211.4121,11.13,11.04,11.21,1600,F444.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
2573,212.0435,11.12,10.97,11.64,730000,F445.png,TRUE,FALSE,FALSE,730000,FALSE,FALSE,FALSE
2473,212.0529,10.84,10.76,10.96,6200,F446.png,FALSE,TRUE,FALSE,6200,FALSE,FALSE,FALSE
2574,213.0446,11.12,10.98,11.33,39000,F447.png,TRUE,FALSE,FALSE,39000,FALSE,FALSE,FALSE
3226,213.0733,14.15,14.11,14.35,2000,F448.png,TRUE,FALSE,FALSE,2000,FALSE,FALSE,FALSE
1646,213.2064,8.7,8.62,8.89,1400,F449.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
2672,214.0136,11.36,11.25,11.5,2000,F450.png,TRUE,FALSE,FALSE,2000,FALSE,FALSE,FALSE
2555,214.0462,11.11,11.02,11.27,7800,F451.png,TRUE,FALSE,FALSE,7800,FALSE,FALSE,FALSE
3155,214.9243,13.99,13.88,14.11,2300,F452.png,FALSE,TRUE,FALSE,2300,FALSE,FALSE,FALSE
5353,214.9244,15.13,14.79,15.37,3300,F453.png,FALSE,TRUE,FALSE,3300,FALSE,FALSE,FALSE
3025,215.0152,12.71,12.63,12.86,2400,F454.png,TRUE,FALSE,FALSE,2400,FALSE,FALSE,FALSE
1753,215.2218,9.11,8.95,9.4,1100,F455.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1656,215.2221,8.74,8.57,8.95,2500,F456.png,TRUE,FALSE,FALSE,2500,FALSE,FALSE,FALSE
1869,215.5554,9.43,9.16,9.48,1800,F457.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
2549,216.0132,11.1,10.99,11.29,4600,F458.png,TRUE,FALSE,FALSE,4600,FALSE,FALSE,FALSE
2305,216.0622,10.4,10.32,10.42,1400,F459.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
2014,217.1276,9.75,9.7,9.85,1600,F460.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
2434,218.1236,10.76,10.65,10.9,9800,F461.png,TRUE,FALSE,FALSE,9800,FALSE,FALSE,FALSE
1375,218.1387,5.86,5.21,7.68,150000,F462.png,TRUE,FALSE,FALSE,150000,FALSE,FALSE,FALSE
1191,218.2105,3.06,2.99,3.17,2800,F463.png,TRUE,FALSE,FALSE,2800,FALSE,FALSE,FALSE
4386,218.9418,14.58,14.1,14.98,37000,F464.png,TRUE,FALSE,FALSE,37000,FALSE,FALSE,FALSE
1807,219.0193,9.22,9.06,9.54,3100,F465.png,TRUE,FALSE,FALSE,3100,FALSE,FALSE,FALSE
