ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
24282,24203,6039,1258,1248,2.1696301326904535,Natural_abundance,[13]C1C-1,1,0,C10H10N2,[13]C1C9H10N2,8007,1,0,-0.04336690394197717,,,,0.9566331,1
25687,25693,6040,1406,1407,-3.464977507995172,Natural_abundance,[13]C1C-1,1,0,C8H17N1O2,[13]C1C7H17N1O2,8010,1,0,-0.00939239699598015,,,,0.9906076,1
25567,25570,6041,1392,1393,-5.273283599908059,Natural_abundance,[13]C1C-1,1,0,C7H15N1O3,[13]C1C6H15N1O3,8012,1,0,-0.006252253777571658,,,,0.9937477,1
25646,25695,6042,1402,1408,-3.361655652805216,Natural_abundance,[13]C1C-1,1,0,C9H8O3,[13]C1C8H8O3,8014,1,0,-0.0031701360030361074,,,,0.9968299,1
25647,25695,6042,1402,1408,-3.361655652805216,Natural_abundance,[13]C1C-1,1,0,C9H8O3,[13]C1C8H8O3,8015,1,0,-0.0031701360030361074,,,,0.9968299,1
2265,2276,6043,152,153,0.27037233456283316,Natural_abundance,[13]C1C-1,1,0,C8H6O4,[13]C1C7H6O4,8018,1,0,-0.0018147868929829474,,,,0.9981852,1
21901,22038,6044,1006,1012,-5.116127195191143,Natural_abundance,[13]C1C-1,1,0,C6H14O5,[13]C1C5H14O5,8020,1,0,-0.16183192680914463,,,,0.8381681,1
31914,32099,6045,1865,1871,-2.6746998842483976,Natural_abundance,[13]C1C-1,1,0,C4H12N1O4P1,[13]C1C3H12N1O4P1,8030,1,0,-0.011516729292308512,,,,0.9884833,1
22278,22219,6046,1029,1024,-3.8502691104165616,Natural_abundance,[13]C1C-1,1,0,C8H11N1O3,[13]C1C7H11N1O3,8032,1,0,-0.009120933996967107,,,,0.9908791,1
28136,28143,6047,1551,1552,-3.2620948289855494,Natural_abundance,[13]C1C-1,1,0,C7H11N3O2,[13]C1C6H11N3O2,8034,1,0,-0.117966950529891,,,,0.882033,1
25659,25669,6052,1403,1404,1.3464646143805032,Natural_abundance,[13]C1C-1,1,0,C9H11N1O3,[13]C1C8H11N1O3,8045,1,0,-1.8759621613910054,,,,-0.8759622,1
25666,25669,6052,1403,1404,1.3464646143805032,Natural_abundance,[13]C1C-1,1,0,C9H11N1O3,[13]C1C8H11N1O3,8047,1,0,-1.8759621613910054,,,,-0.8759622,1
34891,35007,6053,2016,2017,-5.7306981432217645,Natural_abundance,[13]C1C-1,1,0,C5H14N1O4P1,[13]C1C4H14N1O4P1,8050,1,0,-0.01606291431269512,,,,0.9839371,1
49902,56042,6054,3135,3347,-4.571583237127909,Natural_abundance,[13]C1C-1,1,0,B1C3H5Na1O5P1,[13]C1B1C2H5Na1O5P1,8056,1,0,-0.43671392223967404,,,,0.5632861,1
49895,56056,6054,3135,3347,-4.571583237127909,Natural_abundance,[13]C1C-1,1,0,C4H5Na3O4,[13]C1C3H5Na3O4,8058,1,0,-0.009057677736419165,,,,0.9909423,1
24294,24314,6055,1259,1260,-2.418513632927163,Natural_abundance,[13]C1C-1,1,0,C11H9N1O2,[13]C1C10H9N1O2,8060,1,0,-0.0010804247634401336,,,,0.9989196,1
24295,24314,6055,1259,1260,-2.418513632927163,Natural_abundance,[13]C1C-1,1,0,C11H9N1O2,[13]C1C10H9N1O2,8061,1,0,-0.0010804247634401336,,,,0.9989196,1
43796,43788,6057,2655,2652,-1.8759255963750323,Natural_abundance,[13]C1C-1,1,0,C9H20N2O2,[13]C1C8H20N2O2,8066,1,0,-5.264013015492204e-4,,,,0.9994736,1
23818,23810,6059,1200,1197,-0.2768540285696436,Natural_abundance,[13]C1C-1,1,0,C8H11N3O3,[13]C1C7H11N3O3,8074,1,0,-0.014683195289553825,,,,0.9853168,1
23820,23810,6059,1200,1197,-0.2768540285696436,Natural_abundance,[13]C1C-1,1,0,C8H11N3O3,[13]C1C7H11N3O3,8075,1,0,-0.014683195289553825,,,,0.9853168,1
28305,28287,6060,1577,1574,-2.2961045671766898,Natural_abundance,[13]C1C-1,1,0,C6H15N1O6,[13]C1C5H15N1O6,8079,1,0,-0.05063195093928886,,,,0.949368,1
27360,27373,6063,1495,1496,-4.210042664169038,Natural_abundance,[13]C1C-1,1,0,C6H11Na1O6,[13]C1C5H11Na1O6,8091,1,0,-0.0025913978732293327,,,,0.9974086,1
22658,22666,6064,1076,1077,-6.176070772309848,Natural_abundance,[13]C1C-1,1,0,C12H26S1,[13]C1C11H26S1,8092,1,0,-0.3127571475551833,,,,0.6872429,1
25329,25309,6065,1364,1361,-0.7619410409206436,Natural_abundance,[13]C1C-1,1,0,C10H26N4,[13]C1C9H26N4,8095,1,0,-0.08859002563457426,,,,0.91141,1
23530,23645,6066,1170,1181,-2.7182246390432057,Natural_abundance,[13]C1C-1,1,0,C9H17N1O4,[13]C1C8H17N1O4,8097,1,0,-0.4907284595496952,,,,0.5092715,1
36062,36219,6070,2088,2102,-4.37761593537382,Natural_abundance,[13]C1C-1,1,0,C7H15N5O3,[13]C1C6H15N5O3,8109,1,0,-0.04110796191131692,,,,0.958892,1
22837,22848,6071,1113,1114,-3.4604413732554558,Natural_abundance,[13]C1C-1,1,0,C10H19N1O4,[13]C1C9H19N1O4,8110,1,0,-5.985689134876534e-4,,,,0.9994014,1
23600,23606,6074,1176,1177,-3.8836411686345484,Natural_abundance,[13]C1C-1,1,0,C9H17N1O5,[13]C1C8H17N1O5,8120,1,0,-0.015099261263967182,,,,0.9849007,1
39377,39402,6075,2308,2309,-5.17703604794905,Natural_abundance,[13]C1C-1,1,0,C7H14N2O4S1,[13]C1C6H14N2O4S1,8123,1,0,-0.024461500476451965,,,,0.9755385,1
24333,24375,6076,1262,1265,-1.1222757201297513,Natural_abundance,[13]C1C-1,1,0,C11H11N2Na1O2,[13]C1C10H11N2Na1O2,8132,1,0,-0.012716122789327409,,,,0.9872839,1
23611,23686,6078,1178,1184,-2.7048894309705545,Natural_abundance,[13]C1C-1,1,0,C9H16N1Na1O5,[13]C1C8H16N1Na1O5,8138,1,0,-0.007587145326163999,,,,0.9924129,1
