mz,rt,rtmin,rtmax,p_glc
89.8432,94.2,89.4,108,1300000
90.0671,94.2,89.4,101.39999999999999,600000
257.1848,94.2,84,133.8,6300000
263.6841,94.2,87.6,99.6,1800000
386.2766,94.2,81,121.79999999999998,1700000
389.5881,94.2,82.2,96,2200000
392.2543,94.2,85.8,111.60000000000001,1000000
434.7798,94.2,85.8,114.6,20000000
690.5426,94.2,89.4,111.60000000000001,2800000
704.5576,94.2,91.2,111.60000000000001,1800000
706.5736,94.2,91.2,106.2,1800000
717.5621,94.2,89.4,113.39999999999999,2700000
720.5539,94.2,89.4,118.2,9600000
721.5568,94.2,91.2,121.79999999999998,4100000
725.5305,94.2,87.6,113.39999999999999,1200000
735.561,94.2,89.4,125.39999999999999,3500000
735.5737,94.2,91.2,114.6,2500000
738.5061,94.2,91.2,101.39999999999999,1200000
742.5738,94.2,87.6,113.39999999999999,3900000
744.5895,94.2,87.6,123.60000000000001,16000000
746.5689,94.2,87.6,121.79999999999998,39000000
746.6055,94.2,87.6,120,17000000
747.6086,94.2,87.6,123.60000000000001,7400000
748.5271,94.2,89.4,125.39999999999999,2500000
748.5738,94.2,89.4,121.79999999999998,3400000
757.5566,94.2,87.6,123.60000000000001,9000000
758.6053,94.2,93,108,1500000
760.5846,94.2,87.6,121.79999999999998,170000000
761.5878,94.2,87.6,121.79999999999998,82000000
762.5908,94.2,87.6,121.79999999999998,22000000
764.5579,94.2,91.2,103.2,1100000
766.5737,94.2,87.6,120,5600000
768.5895,94.2,87.6,118.2,12000000
769.5928,94.2,87.6,120,6100000
770.5433,94.2,85.8,120,7100000
770.6059,94.2,87.6,118.2,7000000
772.5844,94.2,87.6,120,16000000
774.6012,94.2,87.6,120,5900000
779.5405,94.2,89.4,108,1600000
780.5527,94.2,87.6,123.60000000000001,16000000
782.5686,94.2,87.6,121.79999999999998,34000000
783.5719,94.2,87.6,121.79999999999998,17000000
784.5847,94.2,87.6,123.60000000000001,42000000
786.6001,94.2,87.6,121.79999999999998,80000000
787.6034,94.2,87.6,121.79999999999998,43000000
789.621,94.2,93,111.60000000000001,1400000
