mz,rt,rtmin,rtmax,n_293T_2
387.0958,94.2,90.6,97.2,1900
445.366,94.2,91.2,97.2,1700
461.3609,94.2,91.2,98.39999999999999,1200
465.2861,94.2,88.2,146.4,11000
466.2903,94.2,88.8,108.60000000000001,2800
474.2834,94.2,85.8,184.8,20000
486.2831,94.2,87,130.8,5600
585.3266,94.2,90,110.4,4300
586.3282,94.2,91.2,106.8,2200
640.3973,94.2,93,104.4,1400
941.5761,94.2,90,123.60000000000001,8300
942.5795,94.2,90.6,110.4,2700
1149.7137,94.2,90,117.6,4400
1150.7173,94.2,90.6,103.2,2700
165.0404,94.80000000000001,87,156.6,12000
225.025,94.80000000000001,90,122.99999999999999,2800
242.1755,94.80000000000001,93,99.6,1100
273.1276,94.80000000000001,88.8,123.60000000000001,15000
273.6285,94.80000000000001,90,105.6,3900
297.1513,94.80000000000001,90.6,114,4300
313.0769,94.80000000000001,88.2,153,13000
315.0752,94.80000000000001,90.6,97.2,2300
357.012,94.80000000000001,91.2,112.8,2300
431.0307,94.80000000000001,91.2,110.4,1800
445.2425,94.80000000000001,91.8,125.39999999999999,2200
447.0612,94.80000000000001,90.6,108,3700
448.062,94.80000000000001,91.8,98.39999999999999,1400
449.0583,94.80000000000001,91.8,99,1200
479.3709,94.80000000000001,91.8,118.2,2000
699.3975,94.80000000000001,91.8,100.19999999999999,1600
700.4339,94.80000000000001,93,108,2200
714.4496,94.80000000000001,93,103.2,1200
940.5726,94.80000000000001,89.4,137.4,16000
1111.7274,94.80000000000001,91.2,110.4,2000
91.0219,95.4,91.2,104.4,1400
149.0093,95.4,89.4,124.19999999999999,4800
225.007,95.4,93,122.4,1200
299.0253,95.4,90.6,124.19999999999999,5400
314.0777,95.4,90,120,3500
356.2608,95.4,93.60000000000001,105,1200
374.0441,95.4,91.2,112.2,2200
375.0408,95.4,91.8,105.6,1800
415.3049,95.4,93,111,2100
443.2447,95.4,90.6,127.2,12000
785.4729,95.4,93.60000000000001,102,1800
1109.7179,95.4,90,125.39999999999999,9800
1110.7219,95.4,90.6,123.60000000000001,6100
241.0563,96,90,111,2300
283.1098,96,93,105,1700
298.0465,96,90.6,114.6,2100
309.2781,96,93,118.8,3400
343.1699,96,91.8,133.20000000000002,3600
365.2645,96,93.60000000000001,109.80000000000001,1700
371.0639,96,90,125.39999999999999,5600
372.0639,96,91.2,108.60000000000001,1800
373.044,96,90.6,123.60000000000001,7400
388.1533,96,91.2,150.6,9300
389.1563,96,93,100.19999999999999,2200
417.32,96,91.8,124.19999999999999,4100
433.0118,96,91.8,98.39999999999999,1200
437.2385,96,91.2,117.6,14000
444.2466,96,91.2,121.79999999999998,4400
686.419,96,93,106.8,2400
698.3929,96,90.6,134.4,7900
871.619,96,94.2,120,2800
893.6063,96,93,163.20000000000002,6800
896.6265,96,93.60000000000001,106.2,1700
915.591,96,93,112.2,1300
916.5992,96,93,125.39999999999999,1700
918.6169,96,93.60000000000001,111,1100
239.0591,96.60000000000001,60.6,148.8,18000
240.0595,96.60000000000001,89.4,123.60000000000001,3700
280.2354,96.60000000000001,95.4,106.8,1300
285.2694,96.60000000000001,93,122.4,3500
297.0458,96.60000000000001,82.2,125.39999999999999,9100
304.2347,96.60000000000001,94.2,105,1600
311.2939,96.60000000000001,93.60000000000001,106.2,1700
327.2311,96.60000000000001,91.2,138.6,15000
358.2371,96.60000000000001,93,120,3500
370.2764,96.60000000000001,91.2,135.6,6700
377.2512,96.60000000000001,93,113.39999999999999,3900
388.2219,96.60000000000001,93.60000000000001,122.99999999999999,2200
388.251,96.60000000000001,91.8,123.60000000000001,4300
389.2882,96.60000000000001,93,125.39999999999999,4100
390.2374,96.60000000000001,91.8,145.2,13000
