label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,226,,346.0558,13.7323,0.7667294,,,,,,,,4493783.667
,,227,,352.9449,13.88755,0.8433325,,,,,,,,3569127.683
,,228,,294.9029,13.91584,0.8191436,,,,,,,,3897214.283
,,230,,136.0165,2.918911,0.8319916,,,,,,,,2512410.383
,,231,,314.082,2.522834,0.8544299,,,,,,,,769503.1458
,,233,,565.0477,13.94113,0.7878656,,,,,,,,3757950.25
,,234,,133.0506,7.76614,0.7140823,,,,,,,,4348179.55
,,236,,317.1199,13.57702,0.8404602,,,,,,,,3907029.717
,,237,,160.0614,10.75712,0.7070817,,,,,,,,3109859.417
,,239,,564.5078,2.435506,0.8502818,,,,,,,,2929496.158
,,240,,158.9699,13.90954,0.8065371,,,,,,,,3748850.667
,,241,,312.1721,2.08665,0.8395123,,,,,,,,3696776.633
,,242,,241.0564,2.626222,0.8579348,,,,,,,,2825970.508
,,243,,385.1659,2.783056,0.8393368,,,,,,,,3345670.7
,,244,,151.0258,9.016784,0.8407538,,,,,,,,4123925.983
,,245,,159.1024,4.216272,0.8279002,,,,,,,,3167738.85
,,246,,159.1025,2.707733,0.7611557,,,,,,,,1557909.342
,,247,,159.1025,3.776844,0.6668834,,,,,,,,776570.075
,,248,,281.0993,2.438617,0.7885866,,,,,,,,3769025.86
,,250,,166.0403,2.572783,0.8045658,,,,,,,,2199707.113
,,251,,166.0403,2.842767,0.8243828,,,,,,,,2199707.113
,,253,,132.0858,13.64016,0.8377273,,,,,,,,3849015.05
,,254,,132.0858,16.24229,0.6498252,,,,,,,,1194786.042
,,255,,132.0859,16.78333,0.6406349,,,,,,,,1157406.925
,,256,,368.8066,13.84366,0.8496584,,,,,,,,3124831.233
,,257,,172.0614,11.26148,0.8309425,,,,,,,,3649595.5
,,258,,172.0614,10.33084,0.8273361,,,,,,,,1164514.925
,,259,,134.9159,13.84993,0.8411795,,,,,,,,3555281.6
,,260,,170.0434,12.9997,0.8171679,,,,,,,,3535951.683
,,261,,170.0434,14.43691,0.790333,,,,,,,,43192.33229
,,262,,103.0037,13.38768,0.8341845,,,,,,,,3471340.75
,,263,,175.0611,11.9677,0.6773677,,,,,,,,2497353.333
,,264,,244.0672,11.80882,0.7845344,,,,,,,,3642108.35
,,265,,244.0654,9.602195,0.8357455,,,,,,,,156286.9625
,,266,,244.0672,11.36137,0.7456155,,,,,,,,3251805.05
,,269,,300.2624,2.632461,0.8390824,,,,,,,,3447355.05
,,270,,300.2624,4.181873,0.6982366,,,,,,,,779484.5625
,,271,,240.0592,2.6168,0.8167374,,,,,,,,4356934.117
,,272,,315.254,2.472833,0.8277478,,,,,,,,3148827.767
,,273,,315.254,4.2194,0.8048636,,,,,,,,1522669.45
,,274,,315.254,2.751617,0.6914984,,,,,,,,3148827.767
,,277,,310.9344,13.89696,0.835385,,,,,,,,2855948.275
,,278,,188.0563,13.25953,0.8390391,,,,,,,,3352383.683
,,280,,94.02981,13.41609,0.8357961,,,,,,,,3449314.25
,,281,,142.9751,13.89382,0.8309574,,,,,,,,3249194.5
,,282,,291.131,13.37823,0.851168,,,,,,,,3381601.5
,,283,,326.1877,2.083478,0.8420144,,,,,,,,3185512.967
,,286,,88.01206,4.970973,0.6543384,,,,,,,,647279.0846
,,288,,306.0579,7.594578,0.7962895,,,,,,,,3256341.817
,,289,,306.0579,9.608711,0.8455049,,,,,,,,171385.326
,,290,,88.06667,13.00284,0.8367731,,,,,,,,3069599.048
,,291,,450.2627,7.094395,0.835217,,,,,,,,2746035.133
,,292,,450.2627,3.065322,0.8263659,,,,,,,,1436293.154
,,293,,318.2074,2.491511,0.8324276,,,,,,,,2955068.992
,,294,,318.2074,3.718494,0.8451425,,,,,,,,223356.7052
,,295,,431.1911,13.61493,0.8440654,,,,,,,,2856581.233
,,299,,402.1334,13.88127,0.8409327,,,,,,,,2132674.825
,,300,,402.1335,14.82836,0.8349182,,,,,,,,622267.9958
,,301,,535.4728,2.466611,0.8547652,,,,,,,,2596243.542
,,303,,321.0873,13.68128,0.8384948,,,,,,,,3063247.983
,,306,,248.5816,2.347295,0.8412744,,,,,,,,2914983.133
,,307,,248.5816,3.334917,0.8365533,,,,,,,,94234.8112
,,309,,145.0506,7.183695,0.7809883,,,,,,,,3255959.183
,,310,,145.0981,16.91556,0.8161042,,,,,,,,3122726.483
,,311,,917.5457,2.454172,0.8401876,,,,,,,,2531931.883
,,312,,132.0665,11.30009,0.838723,,,,,,,,3036531.5
,,313,,132.0665,13.23371,0.7655087,,,,,,,,8905.23916
,,314,,315.0753,2.569772,0.8222488,,,,,,,,1705564.675
,,315,,242.2207,2.482167,0.7435263,,,,,,,,2727749.3
,,316,,149.0094,2.566511,0.7823333,,,,,,,,1819322.462
,,317,,217.0828,13.58336,0.8401436,,,,,,,,3061975.95
,,318,,217.0828,10.21287,0.8225236,,,,,,,,23671.52747
,,319,,217.0828,10.93018,0.8137844,,,,,,,,20730.89818
,,321,,313.113,13.37193,0.8591132,,,,,,,,2956617.95
,,322,,313.1141,11.54086,0.8427106,,,,,,,,165157.8208
,,323,,313.1141,12.14679,0.8367782,,,,,,,,202038.224
,,324,,88.01456,13.02488,0.8564067,,,,,,,,2964989.494
,,325,,214.1448,4.206906,0.840468,,,,,,,,2525800.025
,,326,,214.1448,2.8082,0.8204396,,,,,,,,1527616.092
,,328,,147.0663,5.736422,0.6410925,,,,,,,,1278840.233
,,329,,243.0806,9.062507,0.8296565,,,,,,,,2927608.983
,,330,,243.083,13.5707,0.8393175,,,,,,,,451646.6396
,,331,,243.0831,14.34972,0.8258249,,,,,,,,236156.4833
,,332,,183.9705,13.50441,0.8407918,,,,,,,,2789835.25
,,333,,170.028,2.8082,0.8278331,,,,,,,,1778116.838
,,335,,152.0644,7.183695,0.7471057,,,,,,,,2909323.433
,,336,,509.4572,2.472833,0.8552574,,,,,,,,2259227.733
,,337,,281.3998,2.435506,0.8604649,,,,,,,,3520263.95
,,338,,310.2832,2.407483,0.8316911,,,,,,,,2433126.55
,,339,,117.0556,4.2194,0.8032281,,,,,,,,2221816.875
,,341,,117.0557,5.275,0.6560353,,,,,,,,1596043.783
,,342,,265.108,2.786206,0.8388926,,,,,,,,2496097.208
,,344,,403.1486,13.55487,0.843353,,,,,,,,2277950.383
,,346,,167.0376,2.648172,0.7945272,,,,,,,,1533353.765
,,347,,315.081,13.49499,0.8581007,,,,,,,,2238700.608
,,350,,184.0281,13.00597,0.8404048,,,,,,,,2582509.5
,,352,,288.12,13.46982,0.8416167,,,,,,,,2405583.833
,,353,,173.0566,11.30652,0.8383797,,,,,,,,2205244.575
,,354,,326.1106,7.626867,0.7960475,,,,,,,,2476511.9
,,355,,326.1094,11.24856,0.8021727,,,,,,,,14455.6876
,,356,,199.0699,13.00284,0.8424672,,,,,,,,2318187.008
,,357,,406.7721,13.84993,0.8486595,,,,,,,,2337359.85
,,358,,662.1019,13.91586,0.8114209,,,,,,,,2295899.092
,,359,,203.0825,8.717934,0.8389499,,,,,,,,2438795.95
,,360,,229.1444,2.604167,0.8119626,,,,,,,,2204296.3
,,362,,478.2938,7.091222,0.8288113,,,,,,,,1993547.85
,,363,,478.2938,3.0685,0.8269737,,,,,,,,1414162.596
,,364,,191.056,13.02478,0.8360735,,,,,,,,2229226.117
,,365,,191.056,12.07164,0.6823133,,,,,,,,465940.1563
,,366,,227.0648,13.38768,0.7810314,,,,,,,,2294752.642
,,367,,227.0649,14.44333,0.8185416,,,,,,,,19152.80358
,,369,,349.2052,2.485284,0.8400106,,,,,,,,1863305.017
,,371,,243.0621,7.601034,0.7861452,,,,,,,,2281446.75
,,372,,243.0621,9.611989,0.7284987,,,,,,,,1773679.967
,,373,,118.0226,13.30519,0.8394864,,,,,,,,2261524
,,374,,174.1013,16.78017,0.8092306,,,,,,,,2344657.617
,,375,,406.7626,13.8468,0.8488454,,,,,,,,1955918.042
,,376,,340.2032,2.061139,0.8396806,,,,,,,,2073605.975
,,377,,505.9881,14.24303,0.7744022,,,,,,,,1908772.492
,,378,,148.0485,8.855901,0.8242878,,,,,,,,29140.88008
,,379,,148.0501,9.977351,0.8164477,,,,,,,,31810.75977
,,380,,428.8469,13.88127,0.8266864,,,,,,,,2075942.133
,,381,,170.1267,2.704595,0.8340339,,,,,,,,2010060.115
,,382,,170.1266,4.166178,0.7568771,,,,,,,,503725.5667
,,383,,297.2797,2.404361,0.8218151,,,,,,,,1983684.533
,,384,,332.8684,13.87186,0.8300589,,,,,,,,1989246.292
,,387,,117.075,11.20985,0.7903307,,,,,,,,2264291.592
,,392,,253.3455,2.485278,0.7955458,,,,,,,,1947823.729
,,393,,253.3452,3.408806,0.7954144,,,,,,,,13855.09977
,,394,,259.0222,14.18859,0.8173271,,,,,,,,2215916.925
,,395,,90.0445,13.01538,0.7971657,,,,,,,,2117045.15
,,396,,111.0087,14.17903,0.7489007,,,,,,,,2131471.65
,,397,,160.0436,7.591351,0.8139383,,,,,,,,2149655.475
,,398,,119.0541,13.00911,0.8335281,,,,,,,,2021505.05
,,399,,612.1484,14.17582,0.8134264,,,,,,,,1973256.608
,,400,,307.0799,13.49499,0.7647871,,,,,,,,1621226.35
,,401,,351.2209,2.469723,0.8316116,,,,,,,,1763325.483
,,404,,351.2212,2.041939,0.7256077,,,,,,,,592320.7812
,,405,,73.02946,13.30839,0.636664,,,,,,,,2031632.842
,,406,,173.0089,13.86874,0.7956473,,,,,,,,1480087.975
,,408,,152.0433,2.925267,0.816521,,,,,,,,1204631.321
,,409,,172.0979,7.094395,0.8292829,,,,,,,,1751260.908
,,410,,168.0277,13.50756,0.8056527,,,,,,,,1910089.533
,,411,,156.0778,16.76744,0.8347965,,,,,,,,2203243.025
,,412,,552.3304,7.094395,0.8261779,,,,,,,,1702205.742
,,413,,552.3304,3.071689,0.7747398,,,,,,,,459511.6146
,,414,,134.0472,7.617184,0.8177457,,,,,,,,2087726.05
,,415,,134.0472,5.009734,0.6423452,,,,,,,,1586032.025
,,416,,134.0472,14.96261,0.5383754,,,,,,,,675817.4792
,,417,,253.0847,3.576184,0.7000393,,,,,,,,7540.364681
,,420,,272.0623,11.51466,0.8513267,,,,,,,,163863.9292
,,421,,272.0623,8.078934,0.8333282,,,,,,,,44889.87474
,,422,,272.0623,7.743417,0.8164439,,,,,,,,44889.87474
,,423,,272.0623,10.80933,0.8028427,,,,,,,,22999.01324
,,424,,272.0623,12.44468,0.7756219,,,,,,,,20061.58385
,,425,,253.1445,2.701461,0.8272085,,,,,,,,1753763.75
,,426,,253.1445,4.166178,0.8002566,,,,,,,,639282.15
,,427,,330.8607,13.84993,0.8491874,,,,,,,,1714261.542
,,428,,499.107,13.875,0.8059506,,,,,,,,1939868.25
,,429,,499.107,14.81532,0.8447945,,,,,,,,54193.03698
,,432,,566.5235,2.435506,0.8510093,,,,,,,,1389773.046
,,433,,237.0839,13.65911,0.8594341,,,,,,,,1899640.55
,,434,,237.0839,14.10854,0.846239,,,,,,,,1138953.521
,,435,,239.2017,2.503983,0.8335797,,,,,,,,1855358.892
,,437,,197.0397,14.19817,0.7827508,,,,,,,,1034921.492
,,439,,272.0653,13.75502,0.7800877,,,,,,,,1878388.425
,,440,,818.3082,2.516461,0.857,,,,,,,,1535862.975
,,441,,818.3082,3.415283,0.6268696,,,,,,,,24304.04568
,,443,,241.063,2.569789,0.8235165,,,,,,,,245857.2693
,,444,,343.2854,2.432395,0.8089859,,,,,,,,1582640.217
,,445,,343.2853,4.143661,0.8279015,,,,,,,,86776.82109
,,446,,426.0222,14.00503,0.7715935,,,,,,,,1748425.65
,,448,,213.1496,2.830172,0.8166203,,,,,,,,1394669.142
,,450,,143.0542,7.161367,0.8177515,,,,,,,,49768.40208
,,454,,143.162,3.721722,0.7721496,,,,,,,,11769.85332
,,455,,115.0036,13.55487,0.6864163,,,,,,,,1912099.542
,,458,,114.9802,13.93163,0.7869744,,,,,,,,1734783.992
,,459,,237.0615,13.08151,0.829178,,,,,,,,1819202.708
,,461,,269.2121,4.210028,0.7061339,,,,,,,,753710.9333
,,463,,889.515,2.4884,0.8558255,,,,,,,,1486687.933
,,464,,157.0617,13.64332,0.8542514,,,,,,,,893249.3458
,,466,,918.5493,2.454172,0.8575349,,,,,,,,1487505.833
,,467,,330.851,13.8468,0.8555641,,,,,,,,1327548.504
,,468,,205.0352,14.08262,0.8054561,,,,,,,,1762794.35
,,469,,603.0035,13.91899,0.8390145,,,,,,,,1648254.55
,,470,,78.95901,14.20457,0.7175522,,,,,,,,1651191.342
,,471,,242.0763,4.231917,0.837633,,,,,,,,1250518.371
,,472,,242.0764,3.0685,0.8223932,,,,,,,,34955.07064
,,473,,242.0763,3.595467,0.7927171,,,,,,,,28319.74714
,,474,,404.1046,14.82184,0.8406593,,,,,,,,1684799.208
,,475,,404.1045,13.88127,0.8130748,,,,,,,,852938.1417
,,476,,404.1045,13.43824,0.836499,,,,,,,,188998.3572
,,477,,197.1546,2.597883,0.8251078,,,,,,,,1560179.683
,,478,,197.1546,2.186039,0.736603,,,,,,,,1235559.125
,,480,,507.4415,2.491511,0.8574851,,,,,,,,1331788.45
,,481,,158.9389,13.07517,0.6818706,,,,,,,,711743.1125
,,482,,196.935,13.84993,0.8403739,,,,,,,,1598105.317
,,483,,222.1346,11.21952,0.8169069,,,,,,,,1487587.433
,,484,,166.044,2.572783,0.8533348,,,,,,,,931009.3042
,,485,,166.044,2.836467,0.7858124,,,,,,,,931009.3042
,,487,,255.1074,16.76428,0.8081305,,,,,,,,1728682.6
,,489,,255.1098,11.85424,0.83655,,,,,,,,134022.1391
,,490,,538.4918,2.457283,0.8559521,,,,,,,,1340561.875
,,491,,350.1874,13.64648,0.8430048,,,,,,,,1471674.708
,,492,,891.5309,2.479056,0.8505967,,,,,,,,1307513.054
,,495,,274.0136,13.64648,0.8586671,,,,,,,,1621103.633
,,496,,105.0193,11.29689,0.8113968,,,,,,,,1555678.65
,,497,,252.8924,13.919,0.8339334,,,,,,,,1362218.158
,,499,,256.0914,13.64332,0.8170074,,,,,,,,1583055.1
,,500,,256.0914,14.40135,0.8256642,,,,,,,,25919.66224
,,501,,392.8801,13.90641,0.8363459,,,,,,,,1204142.471
,,502,,318.0958,13.57386,0.8402525,,,,,,,,1406522.683
,,503,,145.9897,13.51385,0.8225373,,,,,,,,1522606.027
,,504,,158.9946,13.89069,0.8300155,,,,,,,,1666224.975
,,505,,379.2521,2.432395,0.8385919,,,,,,,,1164375.688
,,506,,201.9812,13.50127,0.8300216,,,,,,,,1573510.658
,,507,,244.9869,13.38768,0.8382484,,,,,,,,1588465.783
,,508,,215.1651,2.623045,0.8298309,,,,,,,,1346539.346
,,510,,201.9812,12.19255,0.8067347,,,,,,,,10941.90286
,,511,,146.0587,13.39083,0.8588325,,,,,,,,1466219.9
,,512,,494.2524,7.097578,0.8335825,,,,,,,,1206795.883
,,513,,236.861,13.92531,0.8195488,,,,,,,,1241356.267
,,514,,143.0532,4.206906,0.7876038,,,,,,,,1683426.503
,,515,,143.0533,2.820756,0.7812756,,,,,,,,1288103.642
,,517,,176.0562,13.38138,0.6514685,,,,,,,,1561716.3
,,518,,215.1147,13.37823,0.8419742,,,,,,,,1407196.067
,,519,,496.1782,13.88755,0.8275345,,,,,,,,781333.0667
,,520,,496.1784,14.8251,0.8390127,,,,,,,,86024.8026
,,521,,224.0279,2.616806,0.8079907,,,,,,,,921805.0396
,,522,,303.2328,2.491506,0.8011444,,,,,,,,1126234.546
,,523,,145.1119,4.210028,0.8346089,,,,,,,,1172122.046
,,524,,145.1119,2.817617,0.8143418,,,,,,,,899021.2917
,,526,,304.0609,13.47613,0.8575827,,,,,,,,1314550.883
,,527,,304.0608,13.02166,0.8240201,,,,,,,,963725.1806
,,528,,304.0609,12.22519,0.8048967,,,,,,,,44992.45078
,,529,,511.4729,2.466611,0.8553287,,,,,,,,1037328.433
,,533,,279.0388,7.594573,0.8415201,,,,,,,,1378187.192
