id,mz,rt,rtmin,rtmax,n_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
1658,358.9245,9.79,9.7,9.93,1400,F1190.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
2760,359.0087,13.89,13.75,14.03,1300,F1191.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
2841,359.0905,14.26,14.16,14.36,2100,F1192.png,TRUE,FALSE,FALSE,2100,FALSE,FALSE,FALSE
1221,359.1169,8.5,8.37,8.61,2900,F1193.png,FALSE,TRUE,FALSE,2900,FALSE,FALSE,FALSE
1509,359.1182,9.45,9.04,9.61,270000,F1194.png,TRUE,FALSE,FALSE,270000,FALSE,FALSE,FALSE
2156,359.1182,10.68,10.56,10.83,5800,F1195.png,TRUE,FALSE,FALSE,5800,FALSE,FALSE,FALSE
2445,359.123,11.76,11.68,11.84,1400,F1196.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1394,359.1439,9,8.89,9.05,3500,F1197.png,TRUE,FALSE,FALSE,3500,FALSE,FALSE,FALSE
1115,359.1484,7.37,7.14,7.53,1800,F1198.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
632,359.1673,2.05,1.7,2.11,2000,F1199.png,FALSE,TRUE,FALSE,2000,FALSE,FALSE,FALSE
422,359.2195,1.72,1.65,1.93,3800,F1200.png,TRUE,FALSE,FALSE,3800,FALSE,FALSE,FALSE
2332,360.0141,11.21,11.07,11.25,1800,F1201.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
2215,360.0683,10.88,10.83,10.92,1900,F1202.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
1540,360.1216,9.5,9.48,9.58,39000,F1203.png,TRUE,FALSE,FALSE,39000,FALSE,FALSE,FALSE
1428,360.1283,9.12,8.82,9.44,580000,F1204.png,TRUE,FALSE,FALSE,580000,FALSE,FALSE,FALSE
292,360.2229,1.7,1.68,1.76,1100,F1205.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
2822,360.9414,14.23,14.08,15.04,15000,F1206.png,FALSE,TRUE,FALSE,15000,FALSE,FALSE,FALSE
3704,360.9872,14.64,14.1,15,50000,F1207.png,TRUE,FALSE,FALSE,50000,FALSE,FALSE,FALSE
1686,361.0061,9.83,9.73,9.91,1700,F1208.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
1429,361.1314,9.12,8.86,9.37,98000,F1209.png,TRUE,FALSE,FALSE,98000,FALSE,FALSE,FALSE
363,361.1849,1.71,1.58,2.09,2400,F1210.png,TRUE,FALSE,FALSE,2400,FALSE,FALSE,FALSE
423,361.2345,1.72,1.66,2.07,2500,F1211.png,TRUE,FALSE,FALSE,2500,FALSE,FALSE,FALSE
3641,361.9907,14.61,14.16,14.89,4000,F1212.png,TRUE,FALSE,FALSE,4000,FALSE,FALSE,FALSE
2417,362.0489,11.63,11.54,11.72,1200,F1213.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
1779,362.1098,9.9,9.83,9.94,1100,F1214.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1384,362.1438,8.99,8.85,9.14,110000,F1215.png,TRUE,FALSE,FALSE,110000,FALSE,FALSE,FALSE
3755,362.9857,14.67,14.16,14.88,5200,F1216.png,TRUE,FALSE,FALSE,5200,FALSE,FALSE,FALSE
2378,362.9986,11.35,11.29,11.45,1000,F1217.png,TRUE,FALSE,FALSE,1000,FALSE,FALSE,FALSE
2184,363.0966,10.75,10.7,10.89,1900,F1218.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
1635,363.1172,9.76,9.68,9.85,1700,F1219.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
1378,363.1469,8.98,8.87,9.14,18000,F1220.png,TRUE,FALSE,FALSE,18000,FALSE,FALSE,FALSE
