ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
20831,22613,9952,1333,1436,-0.05537543672410512,Biotransform,O1,0,0,C5H14O7P2,C5H14O8P2,58360,0,0,,,,,0,0
15613,16302,9960,917,974,0.32089857463010135,Biotransform,O1,0,0,C10H10N4O4,C10H10N4O5,58445,0,0,,,0.41053293492263654,,0.4105329,1
31269,24373,9962,1760,1529,0.3161106746605508,Biotransform,O1,0,0,C9H18O8,C9H18O9,58463,0,0,,,,,0,0
8558,10387,9963,500,661,-0.054126001189544026,Biotransform,O1,0,0,C13H18O5,C13H18O6,58473,0,0,,,,,0,0
8558,7488,9964,500,443,0.3160927688449799,Biotransform,O1,0,0,C13H18O5,C13H18O6,58482,0,0,,,,,0,0
8558,14452,9965,500,820,0.6863112649661895,Biotransform,O1,0,0,C13H18O5,C13H18O6,58491,0,0,,,,,0,0
2389,3702,9968,166,229,-0.05410414794253277,Biotransform,O1,0,0,C16H30O2,C16H30O3,58508,0,0,,,,,0,0
9368,3702,9969,575,229,-0.4241735608111472,Biotransform,O1,0,0,C16H30O2,C16H30O3,58512,0,0,,,,,0,0
7437,14482,9977,439,823,1.048703928418204,Biotransform,O1,0,0,C13H20O5,C13H20O6,58570,0,0,,,,,0,0
2399,2428,9978,168,173,0.3136257766361926,Biotransform,O1,0,0,C16H32O2,C16H32O3,58575,0,0,,,,,0,0
2399,9404,9979,168,580,0.3136257766361926,Biotransform,O1,0,0,C16H32O2,C16H32O3,58579,0,0,,,,,0,0
20656,43891,9980,1326,2318,-0.78597685335052,Biotransform,O1,0,0,C7H16N1O7P1,C7H16N1O8P1,58583,0,0,,,,,0,0
24457,43891,9981,1533,2318,-0.78597685335052,Biotransform,O1,0,0,C7H16N1O7P1,C7H16N1O8P1,58597,0,0,,,,,0,0
31279,42044,9982,1761,2257,-0.05353425360870658,Biotransform,O1,0,0,C10H15N3O5,C10H15N3O6,58611,0,0,,,,,0,0
8572,10408,9986,501,662,-0.05333715163063619,Biotransform,O1,0,0,C12H18O6,C12H18O7,58627,0,0,,,,,0,0
8572,6665,9987,501,391,0.3114859327518002,Biotransform,O1,0,0,C12H18O6,C12H18O7,58637,0,0,,,,,0,0
10330,10408,9988,657,662,-0.05333715163063619,Biotransform,O1,0,0,C12H18O6,C12H18O7,58647,0,0,,,,,0,0
10330,6665,9989,657,391,0.3114859327518002,Biotransform,O1,0,0,C12H18O6,C12H18O7,58657,0,0,,,,,0,0
15914,13874,9996,936,798,-0.053322989301845564,Biotransform,O1,0,0,C14H26O4,C14H26O5,58697,0,0,,,,,0,0
55386,63557,10000,2785,3148,0.30933059274643854,Biotransform,O1,0,0,C6H12O9S1,C6H12O10S1,58732,0,0,,,,,0,0
54659,61268,10002,2750,3052,0.3093199464573473,Biotransform,O1,0,0,C6H13O9P1,C6H13O10P1,58756,0,0,,,0.25365718427564377,,0.2536572,1
52113,61268,10003,2638,3052,-0.05296624042613064,Biotransform,O1,0,0,C6H13O9P1,C6H13O10P1,58771,0,0,,,0.25365718427564377,,0.2536572,1
23797,22269,10012,1500,1416,-1.4965682209520237,Biotransform,O1,0,0,C6H17N1O6P2,C6H17N1O7P2,58855,0,0,,,,,0,0
15974,17167,10033,946,1104,-0.05146514148158593,Biotransform,O1,0,0,C10H12N4O5,C10H12N4O6,59070,0,0,,,,,0,0
15974,39843,10034,946,2177,1.0045900505798429,Biotransform,O1,0,0,C10H12N4O5,C10H12N4O6,59087,0,0,,,,,0,0
17053,17167,10035,1097,1104,-0.05146514148158593,Biotransform,O1,0,0,C10H12N4O5,C10H12N4O6,59102,0,0,,,,,0,0
17053,39843,10036,1097,2177,1.0045900505798429,Biotransform,O1,0,0,C10H12N4O5,C10H12N4O6,59119,0,0,,,,,0,0
6490,6497,10037,376,377,0.30046180278582046,Biotransform,O1,0,0,C15H24O4,C15H24O5,59134,0,0,,,,,0,0
336,32875,10038,35,1821,-0.051121495119690157,Biotransform,O1,0,0,C4H6N4O8S1,C4H6N4O9S1,59139,0,0,,,,,0,0
24373,33502,10041,1529,1853,-0.4006430471928897,Biotransform,O1,0,0,C9H18O9,C9H18O10,59161,0,0,,,,,0,0
10387,7638,10044,661,451,0.2984214110957655,Biotransform,O1,0,0,C13H18O6,C13H18O7,59189,0,0,,,,,0,0
7488,7638,10047,443,451,-0.051100035382241484,Biotransform,O1,0,0,C13H18O6,C13H18O7,59212,0,0,,,,,0,0
14452,7638,10049,820,451,-0.4006214820589284,Biotransform,O1,0,0,C13H18O6,C13H18O7,59228,0,0,,,,,0,0
14482,7690,10060,823,453,-0.7448951760803072,Biotransform,O1,0,0,C13H20O6,C13H20O7,59297,0,0,,,,,0,0
14482,10824,10061,823,697,-0.7448951760803072,Biotransform,O1,0,0,C13H20O6,C13H20O7,59304,0,0,,,,,0,0
14482,13881,10062,823,799,-0.3978187282616219,Biotransform,O1,0,0,C13H20O6,C13H20O7,59312,0,0,,,,,0,0
2428,6717,10063,173,394,0.2962214832391194,Biotransform,O1,0,0,C16H32O3,C16H32O4,59318,0,0,,,,,0,0
9404,6717,10064,580,394,0.2962214832391194,Biotransform,O1,0,0,C16H32O3,C16H32O4,59322,0,0,,,,,0,0
47323,53216,10070,2477,2674,0.2943726048591803,Biotransform,O1,0,0,C7H15O9P1,C7H15O10P1,59364,0,0,,,0.28471598832637623,,0.284716,1
8984,5640,10071,525,328,-0.050397374694629814,Biotransform,O1,0,0,C19H14O2,C19H14O3,59380,0,0,,,,,0,0
36697,52677,10074,2024,2648,0.6389704195334149,Biotransform,O1,0,0,C10H18N4O5,C10H18N4O6,59415,0,0,,,,,0,0
30561,23649,10090,1744,1491,0.2892992061636274,Biotransform,O1,0,0,C11H21N1O7,C11H21N1O8,59574,0,0,,,,,0,0
37714,32573,10093,2075,1807,-0.04920801419204998,Biotransform,O1,0,0,C11H15N5O4,C11H15N5O5,59609,0,0,,,,,0,0
1252,4847,10096,117,283,-0.04901913497680488,Biotransform,O1,0,0,C18H34O2,C18H34O3,59637,0,0,,,,,0,0
9432,4847,10097,584,283,-0.38430733671231376,Biotransform,O1,0,0,C18H34O2,C18H34O3,59642,0,0,,,,,0,0
35095,7726,10106,1929,454,0.2844851851605698,Biotransform,O1,0,0,C14H20O6,C14H20O7,59702,0,0,,,,,0,0
6497,10452,10109,377,664,-0.04870776566824062,Biotransform,O1,0,0,C15H24O5,C15H24O6,59735,0,0,,,,,0,0
641,3714,10110,62,231,-0.04869006800339496,Biotransform,O1,0,0,C18H36O2,C18H36O3,59742,0,0,,,,,0,0
9445,3714,10111,586,231,-0.04869006800339496,Biotransform,O1,0,0,C18H36O2,C18H36O3,59748,0,0,,,,,0,0
7668,7788,10116,452,457,0.28258724743030933,Biotransform,O1,0,0,C14H22O6,C14H22O7,59771,0,0,,,,,0,0
41471,23120,10119,2237,1460,1.931543824265963,Biotransform,O1,0,0,C8H19N1O6P2,C8H19N1O7P2,59799,0,0,,,,,0,0
7690,8681,10126,453,505,0.2807480648319836,Biotransform,O1,0,0,C13H20O7,C13H20O8,59869,0,0,,,,,0,0
10824,8681,10127,697,505,0.2807480648319836,Biotransform,O1,0,0,C13H20O7,C13H20O8,59882,0,0,,,,,0,0
13881,8681,10128,799,505,-0.04807374933005956,Biotransform,O1,0,0,C13H20O7,C13H20O8,59895,0,0,,,,,0,0
22549,32043,10153,1433,1788,0.2771541822798766,Biotransform,O1,0,0,C10H17N2O4P1S1,C10H17N2O5P1S1,60149,0,0,,,,,0,0
20327,32043,10154,1305,1788,-0.04745835249835014,Biotransform,O1,0,0,C10H17N2O4P1S1,C10H17N2O5P1S1,60168,0,0,,,,,0,0
23649,28807,10160,1491,1698,-0.04699123119633991,Biotransform,O1,0,0,C11H21N1O8,C11H21N1O9,60225,0,0,,,,,0,0
32948,33331,10164,1827,1844,0.27356101389578064,Biotransform,O1,0,0,C11H20O9,C11H20O10,60259,0,0,,,,,0,0
24435,33552,10165,1532,1855,0.2726914930237547,Biotransform,O1,0,0,C10H19N1O9,C10H19N1O10,60273,0,0,,,,,0,0
10452,7828,10178,664,459,-0.04624352387865587,Biotransform,O1,0,0,C15H24O6,C15H24O7,60391,0,0,,,,,0,0
3714,5675,10181,231,330,0.26996640237768477,Biotransform,O1,0,0,C18H36O3,C18H36O4,60419,0,0,,,,,0,0
3714,8921,10182,231,513,0.26996640237768477,Biotransform,O1,0,0,C18H36O3,C18H36O4,60424,0,0,,,,,0,0
7788,19841,10184,457,1271,0.26837935196933804,Biotransform,O1,0,0,C14H22O7,C14H22O8,60441,0,0,,,,,0,0
46290,48673,10198,2421,2530,-0.0452558474831012,Biotransform,O1,0,0,C9H14N3O7P1,C9H14N3O8P1,60649,0,0,,,,,0,0
17328,31348,10204,1116,1764,0.2642641868752403,Biotransform,O1,0,0,C11H17N1O9,C11H17N1O10,60723,0,0,,,0.5154325603157505,,0.5154326,1
64956,66650,10211,3198,3316,0.26339366956726024,Biotransform,O1,0,0,C12H24N2O7,C12H24N2O8,60837,0,0,,,,,0,0
46312,66650,10212,2422,3316,-0.045102078424115614,Biotransform,O1,0,0,C12H24N2O7,C12H24N2O8,60847,0,0,,,,,0,0
25107,25950,10215,1563,1596,0.26262601445938316,Biotransform,O1,0,0,C11H19N1O9,C11H19N1O10,60886,0,0,,,,,0,0
25107,42871,10216,1563,2282,0.5702224829200344,Biotransform,O1,0,0,C11H19N1O9,C11H19N1O10,60903,0,0,,,,,0,0
38603,25950,10217,2123,1596,-0.044970629399790046,Biotransform,O1,0,0,C11H19N1O9,C11H19N1O10,60920,0,0,,,,,0,0
38603,42871,10218,2123,2282,0.26262593367652737,Biotransform,O1,0,0,C11H19N1O9,C11H19N1O10,60937,0,0,,,,,0,0
