groupId,sample,peakMz,mzmax,mzmin,peakArea,peakIntensity,rt,rtmax,rtmin
181,n_glc,852.6131,852.6148,852.6115,110000,540000,1.53,1.9,1.47
182,n_glc,890.5925,890.5937,890.5909,210000,830000,1.53,1.9,1.45
183,n_glc,90.9553,90.9553,90.9552,110000,400000,1.56,1.96,1.5
184,n_glc,212.9793,212.9794,212.9792,150000,580000,1.56,1.93,1.5
185,n_glc,219.1755,219.1756,219.1754,130000,570000,1.56,1.9,1.39
186,n_glc,224.0281,224.0284,224.0279,220000,790000,1.56,2.27,1.36
187,n_glc,241.0566,241.0568,241.0565,110000,520000,1.56,1.82,1.39
188,n_glc,255.239,255.2391,255.2387,190000,880000,1.56,1.96,1.5
189,n_glc,256.2364,256.2365,256.2364,5500000,23000000,1.56,2.01,1.45
190,n_glc,257.2372,257.2375,257.237,96000,440000,1.56,1.9,1.47
191,n_glc,267.2331,267.2333,267.233,450000,2200000,1.56,2.04,1.45
192,n_glc,269.2487,269.2489,269.2487,790000,3300000,1.56,1.96,1.45
193,n_glc,279.2331,279.2333,279.233,1200000,5600000,1.56,2.1,1.45
194,n_glc,281.2487,281.2489,281.2486,8900000,38000000,1.56,2.07,1.45
195,n_glc,282.2521,282.2522,282.252,1700000,7800000,1.56,2.07,1.45
196,n_glc,295.2644,295.2647,295.2642,150000,720000,1.56,1.93,1.45
197,n_glc,297.0473,297.0475,297.0469,270000,1100000,1.56,1.93,1.36
198,n_glc,306.2521,306.2523,306.2519,100000,670000,1.56,1.9,1.47
199,n_glc,337.2362,337.2368,337.2355,170000,1100000,1.56,1.79,1.47
200,n_glc,356.263,356.2633,356.2627,31000,200000,1.56,1.76,1.53
201,n_glc,358.213,358.214,358.2124,67000,320000,1.56,1.84,1.47
202,n_glc,365.2675,365.2677,365.2674,100000,490000,1.56,1.82,1.45
203,n_glc,370.2788,370.2792,370.2783,210000,1000000,1.56,1.99,1.45
204,n_glc,372.1607,372.1608,372.1605,99000,450000,1.56,1.87,1.45
207,n_glc,437.2409,437.2415,437.2407,250000,910000,1.56,1.9,1.42
208,n_glc,456.2031,456.2033,456.2023,200000,1000000,1.56,1.9,1.47
209,n_glc,459.2028,459.2031,459.2025,54000,420000,1.56,1.76,1.53
210,n_glc,473.2184,473.2187,473.2182,3700000,16000000,1.56,2.04,1.45
211,n_glc,474.2218,474.2222,474.2216,1000000,4100000,1.56,2.04,1.45
212,n_glc,656.5015,656.5021,656.5011,99000,750000,1.56,1.76,1.47
213,n_glc,720.4981,720.4985,720.4977,120000,600000,1.56,1.82,1.5
214,n_glc,722.5139,722.5149,722.5133,310000,1100000,1.56,2.04,1.47
215,n_glc,743.5435,743.5443,743.5428,120000,480000,1.56,1.9,1.47
216,n_glc,749.498,749.4983,749.4974,120000,780000,1.56,1.84,1.47
217,n_glc,766.5399,766.541,766.5391,100000,350000,1.56,1.99,1.47
