label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,5570,,103.999001,7.515,0.771919,,,,,,,,19803.524446614578
,,5502,,104.035393,7.379,0.770728,,,,,,,,22222.247591145828
,,8196,,104.0354,13.415,0.772428,,,,,,,,1635054.6833333338
,,5320,,104.043488,7.125,0.771842,,,,,,,,129763.63072916663
,,6106,,104.043495,8.955,0.772227,,,,,,,,147227.27916666667
,,6835,,105.019325,11.234,0.772447,,,,,,,,833476.558333334
,,8211,,105.038658,13.428,0.820298,,,,,,,,50195.07239583336
,,6096,,105.044289,8.935,0.794863,,,,,,,,17535.40061848957
,,412,,105.920166,2.078,0.77232,,,,,,,,181152.26979166665
,,4591,,105.920166,6.142,0.772089,,,,,,,,33252.07044270834
,,4770,,105.989441,6.808,0.578571,,,,,,,,15756.592805989589
,,8054,,106.017273,13.347,0.836991,,,,,,,,15121.45660807291
,,6830,,106.022682,11.227,0.824758,,,,,,,,24682.558463541667
,,6683,,106.97686,11.152,0.809994,,,,,,,,17819.272395833323
,,6670,,106.980858,11.149,0.772437,,,,,,,,597093.1770833335
,,5365,,106.980865,7.15,0.77245,,,,,,,,1163663.8500000008
,,7589,,106.980888,12.843,0.775157,,,,,,,,5661.175472005211
,,7224,,107.035011,11.921,0.772278,,,,,,,,37862.137109374984
,,1382,,107.050255,2.53,0.790418,,,,,,,,82753.94609375001
,,401,,107.920357,2.074,0.806902,,,,,,,,27737.67571614585
,,5221,,107.984245,7.103,0.822051,,,,,,,,17736.77972005209
,,7594,,108.01255,12.846,0.786397,,,,,,,,801106.3749999999
,,6150,,108.020424,9.043,0.768871,,,,,,,,29176.47460937502
,,3423,,108.021721,4.179,0.770419,,,,,,,,103895.41354166674
,,4752,,108.919762,6.734,0.771413,,,,,,,,29988.04648437502
,,5335,,108.976585,7.135,0.771352,,,,,,,,46628.12031249996
,,7575,,109.015663,12.817,0.77731,,,,,,,,17799.099544270844
,,470,,109.029427,2.097,0.772204,,,,,,,,391958.63125000027
,,5619,,110.024689,7.61,0.772091,,,,,,,,94845.84322916658
,,404,,110.032814,2.074,0.78821,,,,,,,,26416.559765625014
,,6868,,110.072327,11.25,0.834633,,,,,,,,29650.431640624985
,,8538,,110.072327,13.594,0.786143,,,,,,,,108163.02343749996
,,4717,,110.899727,6.551,0.820894,,,,,,,,6547.157356770836
,,4741,,110.916809,6.683,0.774572,,,,,,,,7824.879882812503
,,1532,,110.957947,2.577,0.772411,,,,,,,,103842.61276041676
,,8582,,110.98526,13.642,0.772411,,,,,,,,158410.83072916663
,,7465,,111.00222,12.467,0.773868,,,,,,,,32191.80638020835
,,5626,,111.019958,7.613,0.832428,,,,,,,,745858.4458333337
,,6928,,111.056366,11.27,0.826468,,,,,,,,51633.51718750001
,,1998,,111.08152,2.704,0.789887,,,,,,,,60663.00859375005
,,6713,,111.947166,11.164,0.770875,,,,,,,,143018.32760416679
,,7484,,111.997498,12.484,0.784971,,,,,,,,17453.514127604165
,,5621,,112.023323,7.61,0.777628,,,,,,,,33385.00950520835
,,8129,,112.040436,13.361,0.817298,,,,,,,,89897.24791666666
,,5686,,112.051636,7.652,0.789937,,,,,,,,502583.6583333333
,,7735,,112.051674,13.003,0.769117,,,,,,,,40332.92239583337
,,5487,,112.95504,7.336,0.772453,,,,,,,,116214.74635416678
,,1728,,112.955055,2.622,0.781501,,,,,,,,94241.31875000002
,,5521,,112.988007,7.405,0.772379,,,,,,,,322659.68125000026
,,7242,,113.024445,11.927,0.772321,,,,,,,,5374510.000000004
,,8161,,113.035706,13.377,0.780104,,,,,,,,63097.61848958329
,,5688,,113.05497,7.652,0.820427,,,,,,,,20694.62565104167
,,7282,,113.062592,11.94,0.772155,,,,,,,,29088.40579427082
,,3401,,113.097176,4.176,0.819401,,,,,,,,18706.717024739595
,,7672,,113.926239,12.958,0.785354,,,,,,,,68555.18880208337
,,8105,,113.926262,13.357,0.800574,,,,,,,,66115.25989583333
,,7150,,113.993446,11.857,0.773293,,,,,,,,13509.232486979163
,,7935,,114.017342,13.271,0.829875,,,,,,,,39704.69856770831
,,7221,,114.02774,11.921,0.77235,,,,,,,,299790.1406249998
,,5854,,114.030853,8.059,0.812243,,,,,,,,821579.0375000001
,,7143,,114.056007,11.841,0.772593,,,,,,,,1472554.850000001
,,7711,,114.964455,12.987,0.818532,,,,,,,,40681.10820312497
,,8355,,114.96447,13.476,0.799506,,,,,,,,33145.72513020832
,,8892,,114.980293,13.706,0.772395,,,,,,,,1831285.2916666677
,,8363,,115.003662,13.476,0.772641,,,,,,,,6528601.433333328
,,7719,,115.003693,12.99,0.839369,,,,,,,,8841040.900000004
,,6046,,115.02079,8.866,0.772439,,,,,,,,51280.70468750001
,,7174,,115.028648,11.895,0.772139,,,,,,,,36174.85325520833
,,5834,,115.034233,8.05,0.812774,,,,,,,,25523.123697916653
,,8445,,115.042206,13.492,0.812462,,,,,,,,16845.702083333315
,,7732,,115.042938,13,0.824624,,,,,,,,41019.91171874997
,,7445,,115.051292,12.457,0.762265,,,,,,,,14041.066699218758
,,7139,,115.05938,11.831,0.772848,,,,,,,,79393.50885416669
,,7654,,115.920738,12.951,0.758925,,,,,,,,1376813.4583333333
,,8081,,115.920738,13.354,0.800374,,,,,,,,1370700.0999999992
,,8694,,115.983665,13.686,0.772681,,,,,,,,35361.174739583315
,,4588,,116.007042,6.123,0.804613,,,,,,,,7282.284065755207
,,8427,,116.007042,13.489,0.778896,,,,,,,,279104.5999999997
,,7715,,116.00705,12.99,0.817585,,,,,,,,389573.7708333335
,,1352,,116.017548,2.52,0.839867,,,,,,,,875606.5124999991
,,3255,,116.035301,4.129,0.766551,,,,,,,,82643.22916666667
,,6168,,116.035309,9.096,0.770708,,,,,,,,339654.2333333331
,,7816,,116.0466,13.114,0.838694,,,,,,,,45323.07070312501
,,5970,,116.050545,8.764,0.771974,,,,,,,,43637.21927083338
,,6651,,116.071716,11.136,0.772422,,,,,,,,4082376.25
,,7967,,116.854317,13.29,0.836266,,,,,,,,33571.87324218753
,,7981,,116.884613,13.296,0.833357,,,,,,,,47441.50260416665
,,8067,,116.920952,13.351,0.769812,,,,,,,,157013.57135416678
,,7690,,116.921021,12.971,0.743858,,,,,,,,170770.9119791668
,,9033,,116.959564,13.737,0.772408,,,,,,,,348501.503125
,,9986,,116.962502,14.217,0.808213,,,,,,,,7321.267382812501
,,2512,,116.968719,2.946,0.802924,,,,,,,,5749.073893229164
,,9003,,116.978424,13.721,0.771791,,,,,,,,216851.7552083332
,,7982,,116.978737,13.296,0.821897,,,,,,,,285372.4442708334
,,9415,,116.982948,13.96,0.806731,,,,,,,,25119.671093749974
,,9032,,116.984566,13.734,0.783214,,,,,,,,5351.53640950521
,,7988,,117.004707,13.306,0.815255,,,,,,,,17838.6787109375
,,7966,,117.006279,13.29,0.833793,,,,,,,,32208.064388020823
,,7953,,117.007637,13.28,0.777682,,,,,,,,75779.65182291661
,,7730,,117.007912,13,0.832182,,,,,,,,75779.65182291661
,,8380,,117.007912,13.479,0.787187,,,,,,,,52858.14713541665
,,7963,,117.019341,13.29,0.841924,,,,,,,,66264414.86666663
,,1345,,117.020866,2.514,0.833352,,,,,,,,31606.001171874996
,,7977,,117.032166,13.293,0.833232,,,,,,,,38105.6065755208
,,7986,,117.036842,13.303,0.838072,,,,,,,,19074.780013020834
,,7968,,117.038017,13.29,0.81442,,,,,,,,30372.070507812477
,,6169,,117.038673,9.1,0.770082,,,,,,,,16020.963802083326
,,6315,,117.038696,9.823,0.781962,,,,,,,,11425.913476562504
,,7972,,117.039246,13.29,0.790588,,,,,,,,3571.3418294270837
,,7960,,117.059418,13.287,0.823045,,,,,,,,310344.2401041667
,,6654,,117.068825,11.136,0.824777,,,,,,,,18981.964062499985
,,6662,,117.07505,11.142,0.772389,,,,,,,,215032.78541666648
,,7975,,117.153893,13.293,0.834029,,,,,,,,55909.60898437505
,,7970,,117.184204,13.29,0.833517,,,,,,,,27909.71712239584
,,8145,,117.919067,13.364,0.812119,,,,,,,,37624.770833333365
,,7682,,117.91909,12.964,0.786875,,,,,,,,39218.41731770832
,,8850,,117.954826,13.699,0.771295,,,,,,,,37166.92753906251
,,7703,,118.01017,12.98,0.823733,,,,,,,,6159.409505208331
,,1358,,118.01339,2.52,0.823937,,,,,,,,36038.392317708356
,,7957,,118.022675,13.287,0.840045,,,,,,,,2959925.666666665
,,7714,,118.050964,12.99,0.77235,,,,,,,,1577377.883333334
,,7745,,118.091766,13.003,0.814753,,,,,,,,5783.653206380205
,,5498,,118.87867,7.366,0.643552,,,,,,,,11266.691015624994
,,4370,,118.878716,4.721,0.753852,,,,,,,,6812.7716308593745
,,15,,118.878746,1.612,0.774934,,,,,,,,28311.129817708337
,,2520,,118.918236,2.953,0.762167,,,,,,,,12708.47272135418
,,10032,,118.951561,14.255,0.766035,,,,,,,,24250.09296875
,,5373,,118.951691,7.154,0.777752,,,,,,,,52787.35312499996
,,9027,,118.957634,13.731,0.798769,,,,,,,,21127.021744791662
,,7071,,118.968895,11.608,0.796429,,,,,,,,16970.02392578124
,,9661,,118.969475,14.147,0.78309,,,,,,,,9059.77333984375
,,7193,,118.993683,11.908,0.772345,,,,,,,,23487.67320963542
,,7,,118.998146,1.551,0.826321,,,,,,,,12410.699446614592
,,50,,119.003487,1.776,0.826144,,,,,,,,14088.756217447926
,,28,,119.003578,1.663,0.802206,,,,,,,,14996.915983072919
,,7959,,119.02343,13.287,0.83524,,,,,,,,571627.5979166664
,,7952,,119.025551,13.277,0.82998,,,,,,,,42906.59049479162
,,2,,119.029518,1.509,0.762321,,,,,,,,14630.992285156248
,,64,,119.029686,1.84,0.811469,,,,,,,,14347.8131076389
,,7252,,119.034912,11.93,0.772206,,,,,,,,4780110.666666668
,,4613,,119.046135,6.232,0.824848,,,,,,,,8889.057975260414
,,378,,119.048424,2.068,0.827142,,,,,,,,15579.346679687484
,,7739,,119.054237,13.003,0.772138,,,,,,,,71283.03177083332
,,76,,119.155006,1.895,0.771954,,,,,,,,22607.6898111979
,,7118,,119.933807,11.748,0.752866,,,,,,,,14155.843033854155
,,985,,119.976021,2.365,0.801218,,,,,,,,20923.668489583324
,,7091,,119.976051,11.683,0.772453,,,,,,,,3494741.683333335
,,7983,,120.026878,13.296,0.832618,,,,,,,,23714.25442708334
,,7203,,120.038292,11.914,0.772164,,,,,,,,212899.5770833334
,,7699,,120.055115,12.977,0.828538,,,,,,,,8205.411686197916
,,7105,,120.973137,11.728,0.768264,,,,,,,,10467.004361979178
,,7100,,120.979431,11.712,0.772451,,,,,,,,70411.00833333327
,,4297,,120.998299,4.468,0.834576,,,,,,,,10985.274934895846
,,7204,,121.039185,11.914,0.77177,,,,,,,,42386.89622395834
,,4309,,121.040649,4.478,0.826907,,,,,,,,2559192.0166666675
,,9250,,121.040657,13.908,0.769939,,,,,,,,63934.145833333394
,,448,,121.06588,2.09,0.770693,,,,,,,,128414.91510416672
,,4300,,121.083107,4.471,0.840202,,,,,,,,9182.149023437505
,,7092,,121.971893,11.69,0.772452,,,,,,,,162397.5171875001
,,6813,,121.991943,11.211,0.824607,,,,,,,,42466.50442708337
,,9952,,122.022331,14.201,0.772,,,,,,,,531281.5125000004
,,4310,,122.037445,4.478,0.767477,,,,,,,,51905.189843749955
,,4306,,122.044029,4.475,0.817888,,,,,,,,166737.5562499999
,,9878,,122.96756,14.185,0.771561,,,,,,,,45270.59049479163
,,7112,,122.975761,11.748,0.772451,,,,,,,,956427.1041666657
,,10024,,122.985268,14.252,0.772284,,,,,,,,222217.2583333335
,,9972,,123.025703,14.21,0.773919,,,,,,,,21857.42721354167
,,5474,,123.032959,7.297,0.777446,,,,,,,,8049.440039062497
,,6717,,123.7313,11.164,0.792015,,,,,,,,87785.16406250001
,,6703,,123.827187,11.161,0.776414,,,,,,,,217342.06093749995
