ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
26286,23322,281,2698,2322,0.578147566369515,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,586,0,0,NA,NA,NA,0,0
32375,50693,284,3164,5199,0.36585020322501605,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,598,0,0,NA,NA,NA,0,0
32375,23322,285,3164,2322,0.578147566369515,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,602,0,0,NA,NA,NA,0,0
39559,50693,288,4042,5199,0.36585020322501605,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,614,0,0,NA,NA,NA,0,0
39559,23322,289,4042,2322,0.578147566369515,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,618,0,0,NA,NA,NA,0,0
39516,42370,291,4033,4466,0.3726056062885443,Biotransform,H-1N-1O1,0,0,C6H11N1O3,C6H10O4,626,0,0,NA,NA,NA,0,0
56994,59505,294,6000,6220,0.1603487779940648,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,638,0,0,NA,NA,NA,0,0
56994,54677,295,6000,5680,0.3725770363705663,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,642,0,0,NA,NA,NA,0,0
59505,48226,303,6220,4995,-0.04473214153503758,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,664,0,0,NA,NA,NA,0,0
59505,64095,304,6220,6483,0.05727182382008328,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,668,0,0,NA,0.2128223114980927,NA,0.2128223114980927,1
59505,32711,305,6220,3232,0.5808918510888958,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,672,0,0,NA,NA,NA,0,0
54677,48226,306,5680,4995,-0.25554034845661266,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,676,0,0,NA,NA,NA,0,0
54677,64095,307,5680,6483,-0.15353636159821973,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,680,0,0,NA,0.2591372263427006,NA,0.2591372263427006,1
54677,32711,308,5680,3232,0.37008377605398696,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,684,0,0,NA,NA,NA,0,0
106673,42975,312,8150,4580,0.3631937107594117,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,690,0,0,NA,NA,NA,0,0
106673,56729,313,8150,5963,0.3631937107594117,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,694,0,0,NA,NA,NA,0,0
65685,42975,314,6591,4580,-0.15349832655161938,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,698,0,0,NA,NA,NA,0,0
65685,56729,315,6591,5963,-0.15349832655161938,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,702,0,0,NA,NA,NA,0,0
48226,58344,319,4995,6148,-0.6659010226503309,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,707,0,0,NA,NA,NA,0,0
48226,106564,320,4995,8127,0.5702755854305884,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,711,0,0,NA,NA,NA,0,0
48226,32282,321,4995,3145,1.4011466701779831,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,715,0,0,NA,NA,NA,0,0
64095,58344,323,6483,6148,-0.7672270320483129,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,723,0,0,NA,0.291918150705633,NA,0.291918150705633,1
64095,106564,324,6483,8127,0.4689497012893656,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,727,0,0,NA,NA,NA,0,0
64095,32282,325,6483,3145,1.2998208702255556,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,731,0,0,NA,NA,NA,0,0
32711,58344,327,3232,6148,-1.2873672129974516,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,739,0,0,NA,NA,NA,0,0
32711,106564,328,3232,8127,-0.05118983667507663,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,743,0,0,NA,NA,NA,0,0
32711,32282,329,3232,3145,0.7796817644302618,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,747,0,0,NA,NA,NA,0,0
42975,37268,341,4580,3781,0.9888453296986996,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,775,0,0,NA,NA,NA,0,0
56729,37268,343,5963,3781,0.9888453296986996,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,783,0,0,NA,NA,NA,0,0
39498,42001,360,4029,4394,-1.3705338199440873,Biotransform,H-1N-1O1,0,0,C4H7N1O3S1,C4H6O4S1,795,0,0,NA,NA,NA,0,0
39498,56931,361,4029,5992,-0.25052224553875196,Biotransform,H-1N-1O1,0,0,C4H7N1O3S1,C4H6O4S1,797,0,0,NA,NA,NA,0,0
41909,42640,374,4372,4519,-1.246952066485845,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,835,0,0,NA,0.40867074141132287,NA,0.40867074141132287,1
51605,54819,381,5340,5698,0.25599777087410214,Biotransform,H-1N-1O1,0,0,C3H7N1O4S1,C3H6O5S1,842,0,0,NA,NA,NA,0,0
38256,54819,382,3862,5698,0.15209730065791263,Biotransform,H-1N-1O1,0,0,C3H7N1O4S1,C3H6O5S1,844,0,0,NA,NA,NA,0,0
51300,50699,385,5302,5200,-0.1383446145579665,Biotransform,H-1N-1O1,0,0,C2H5N1O5S1,C2H4O6S1,850,0,0,NA,NA,NA,0,0
55388,50699,386,5786,5200,-0.3370971890103015,Biotransform,H-1N-1O1,0,0,C2H5N1O5S1,C2H4O6S1,853,0,0,NA,NA,NA,0,0
40867,7732,407,4229,901,0.24935767658534538,Biotransform,H-1N-1O1,0,0,C8H15N1O2,C8H14O3,898,0,0,NA,NA,NA,0,0
56796,31728,412,5973,3047,-0.2300262550538787,Biotransform,H-1N-1O1,0,0,C5H6N2O4,C5H5N1O5,905,0,0,NA,NA,NA,0,0
42815,49911,416,4546,5093,0.3421626593240955,Biotransform,H-1N-1O1,0,0,C6H10N2O3,C6H9N1O4,911,0,0,NA,0.18059622696812885,NA,0.18059622696812885,1
42815,51056,417,4546,5254,0.5307789235915028,Biotransform,H-1N-1O1,0,0,C6H10N2O3,C6H9N1O4,915,0,0,NA,0.18352072245334644,NA,0.18352072245334644,1
