mz,rt,rtmin,rtmax,p_293T_2
838.6191,99.6,94.2,148.20000000000002,12000
840.6217,99.6,94.80000000000001,103.8,4400
846.4368,99.6,96,105,3600
847.4414,99.6,96.60000000000001,103.8,1900
853.6091,99.6,96.60000000000001,109.2,1800
865.6304,99.6,96.60000000000001,102.6,2000
868.55,99.6,91.2,223.20000000000002,44000
869.5533,99.6,91.8,205.2,22000
870.5566,99.6,93,107.4,6800
878.5681,99.6,94.2,122.4,3000
1107.8028,99.6,96,118.2,6400
1133.816,99.6,96,115.8,5000
1134.8178,99.6,96,113.39999999999999,2900
1135.8313,99.6,96,118.2,5000
1136.8357,99.6,96,112.2,2900
1148.7638,99.6,97.2,115.8,2900
1161.8416,99.6,96,109.2,2500
1172.771,99.6,96,117.6,8000
1173.7757,99.6,96.60000000000001,116.39999999999999,5500
1174.785,99.6,94.80000000000001,120,10000
1175.7909,99.6,96.60000000000001,117.6,7100
1176.7942,99.6,97.2,111,2500
1184.8159,99.6,93.60000000000001,115.8,3200
1196.7665,99.6,96.60000000000001,106.2,1900
1198.785,99.6,96.60000000000001,109.80000000000001,2300
295.1159,100.19999999999999,94.80000000000001,111,1700
385.2725,100.19999999999999,88.8,123.60000000000001,81000
385.7739,100.19999999999999,93.60000000000001,122.99999999999999,20000
758.2891,100.19999999999999,96,109.80000000000001,3200
770.5803,100.19999999999999,97.2,112.8,150000
789.4675,100.19999999999999,94.2,109.2,1400
789.6107,100.19999999999999,93.60000000000001,162,41000
791.5944,100.19999999999999,96,119.4,24000
792.5872,100.19999999999999,94.80000000000001,158.4,100000
793.5901,100.19999999999999,94.80000000000001,157.79999999999998,50000
794.6005,100.19999999999999,93,158.4,120000
795.6046,100.19999999999999,92.4,158.4,55000
796.5968,100.19999999999999,96.60000000000001,124.80000000000001,71000
802.5991,100.19999999999999,94.80000000000001,127.8,10000
805.554,100.19999999999999,92.4,177,23000
806.5673,100.19999999999999,91.8,162,200000
807.5704,100.19999999999999,92.4,157.79999999999998,100000
808.5824,100.19999999999999,91.8,162,310000
809.5849,100.19999999999999,93.60000000000001,159.60000000000002,160000
810.5962,100.19999999999999,93.60000000000001,160.2,190000
811.6004,100.19999999999999,93,162.6,83000
812.6089,100.19999999999999,93,161.4,52000
813.6144,100.19999999999999,94.2,155.39999999999998,19000
815.6288,100.19999999999999,94.2,132,7800
818.612,100.19999999999999,93.60000000000001,119.4,55000
819.6143,100.19999999999999,93.60000000000001,119.4,26000
820.6132,100.19999999999999,93,158.4,37000
822.6135,100.19999999999999,93.60000000000001,108,26000
827.5951,100.19999999999999,96,121.79999999999998,4200
828.5514,100.19999999999999,93.60000000000001,122.99999999999999,5000
831.5693,100.19999999999999,93.60000000000001,157.79999999999998,16000
833.5857,100.19999999999999,92.4,157.79999999999998,75000
834.5966,100.19999999999999,92.4,157.79999999999998,120000
835.6009,100.19999999999999,93,159.60000000000002,53000
850.5939,100.19999999999999,96.60000000000001,123.60000000000001,6000
855.5694,100.19999999999999,93.60000000000001,148.20000000000002,8900
857.5845,100.19999999999999,93,145.8,12000
858.5948,100.19999999999999,93,157.79999999999998,15000
890.6344,100.19999999999999,96,109.2,1400
1109.8105,100.19999999999999,97.8,108.60000000000001,1400
