mz,rt,rtmin,rtmax,n_glc
133.0601,79.80000000000001,71.39999999999999,83.39999999999999,150000
144.0568,79.80000000000001,71.39999999999999,83.39999999999999,570000
148.0629,79.80000000000001,71.39999999999999,83.39999999999999,130000
149.0833,79.80000000000001,71.39999999999999,83.39999999999999,85000
156.0568,79.80000000000001,71.39999999999999,83.39999999999999,210000
159.0676,79.80000000000001,71.39999999999999,83.39999999999999,950000
169.052,79.80000000000001,71.39999999999999,83.39999999999999,150000
171.0677,79.80000000000001,71.39999999999999,83.39999999999999,900000
174.0786,79.80000000000001,71.39999999999999,83.39999999999999,200000
184.0629,79.80000000000001,71.39999999999999,83.39999999999999,270000
197.0834,79.80000000000001,71.39999999999999,87,99000
120.9671,81.60000000000001,76.2,88.2,140000
185.047,81.60000000000001,71.39999999999999,83.39999999999999,92000
206.0684,81.60000000000001,73.2,83.39999999999999,100000
160.8421,85.19999999999999,60.6,88.2,2000000
162.8392,85.19999999999999,60.6,88.2,1700000
164.8362,85.19999999999999,60.6,88.2,730000
187.8611,85.19999999999999,60.6,88.2,420000
189.8582,85.19999999999999,74.4,87,260000
819.5187,85.19999999999999,79.80000000000001,105.6,870000
280.1351,87,83.39999999999999,110.4,570000
287.143,87,81.60000000000001,105.6,590000
293.1793,87,81.60000000000001,110.4,850000
340.2034,87,78,107.4,770000
368.9768,87,81.60000000000001,98.39999999999999,520000
773.5338,87,81.60000000000001,100.19999999999999,430000
773.5883,87,83.39999999999999,95.4,870000
774.5918,87,83.39999999999999,95.4,490000
165.0409,88.2,85.19999999999999,112.2,1100000
265.148,88.2,83.39999999999999,141.6,3200000
272.1195,88.2,83.39999999999999,119.4,1300000
273.1273,88.2,83.39999999999999,122.4,14000000
273.629,88.2,83.39999999999999,122.4,3300000
274.1252,88.2,83.39999999999999,120.6,960000
309.1743,88.2,81.60000000000001,134.4,810000
311.1688,88.2,83.39999999999999,122.4,7600000
312.1722,88.2,83.39999999999999,120.6,1400000
313.1653,88.2,83.39999999999999,120.6,360000
325.1845,88.2,81.60000000000001,122.4,6600000
326.1878,88.2,76.2,112.2,1200000
339.2,88.2,81.60000000000001,122.4,4000000
353.2005,88.2,83.39999999999999,112.2,530000
465.2894,88.2,81.60000000000001,124.19999999999999,1800000
466.293,88.2,83.39999999999999,93.60000000000001,450000
467.3051,88.2,81.60000000000001,119.4,1200000
474.2863,88.2,79.80000000000001,122.4,3700000
485.283,88.2,81.60000000000001,110.4,760000
489.2779,88.2,79.80000000000001,138,1600000
547.2621,88.2,83.39999999999999,112.2,800000
940.5761,88.2,85.19999999999999,97.2,380000
210.0786,90,71.39999999999999,95.4,480000
218.9863,90,85.19999999999999,117.6,780000
226.0736,90,85.19999999999999,95.4,310000
227.1052,90,83.39999999999999,95.4,320000
239.1052,90,83.39999999999999,95.4,380000
240.0594,90,81.60000000000001,110.4,660000
240.0631,90,83.39999999999999,105.6,400000
242.1049,90,81.60000000000001,91.8,320000
243.1796,90,81.60000000000001,109.2,580000
249.1497,90,85.19999999999999,127.8,580000
268.9832,90,83.39999999999999,107.4,430000
283.1106,90,81.60000000000001,126,1600000
297.1531,90,83.39999999999999,119.4,2400000
307.2644,90,85.19999999999999,122.4,590000
313.0787,90,81.60000000000001,114,2100000
315.0754,90,83.39999999999999,98.39999999999999,280000
330.2522,90,87,112.2,440000
337.3114,90,85.19999999999999,112.2,540000
388.2528,90,85.19999999999999,119.4,930000
389.159,90,85.19999999999999,131.4,880000
389.2911,90,87,114,550000
391.2433,90,88.2,103.8,430000
411.2252,90,87,112.2,490000
417.3223,90,85.19999999999999,109.2,290000
418.2542,90,87,120.6,1100000
443.2477,90,85.19999999999999,143.4,2200000
473.2829,90,79.80000000000001,126,13000000
475.2896,90,81.60000000000001,110.4,600000
479.3745,90,85.19999999999999,112.2,290000
490.2813,90,79.80000000000001,110.4,480000
565.3501,90,85.19999999999999,110.4,250000
697.3923,90,85.19999999999999,119.4,2600000
91.0221,91.8,83.39999999999999,105.6,270000
93.5619,91.8,87,114,640000
93.8126,91.8,88.2,100.19999999999999,140000
